observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,distractors
88c71,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.039,25765,25761.327,25777.941,26261.272,26262.099999994,2023-07-12T19:51:27Z,26277.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,0,NA
88c71,deep,flow.Sequence,1_2_0,NA,NA,completion,4233.336,22012.799999997,22011.319,22027.936,26261.272,26262.5,2023-07-12T19:51:27Z,26277.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,NA,NA
88c71,task,flow.Sequence,1_2,NA,NA,completion,4233.336,22012.799999997,22011.319,22027.936,26261.272,26262.899999991,2023-07-12T19:51:27Z,26277.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,NA,NA
88c71,Deep Question,html.Page,1_3_0_0,d,NA,form submission,2883.319999997,26263.099999994,26261.272,26277.98,29161.299999997,29161.799999997,2023-07-12T19:51:30Z,29179.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,498.435,29162.799999997,29145.021,29179.549,29661.302,29661.799999997,2023-07-12T19:51:30Z,29677.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,0,NA
88c71,deep,flow.Sequence,1_3_0,NA,NA,completion,3383.322,26263,26261.272,26277.98,29661.302,29661.899999991,2023-07-12T19:51:30Z,29677.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,NA,NA
88c71,task,flow.Sequence,1_3,NA,NA,completion,3383.322,26263,26261.272,26277.98,29661.302,29661.899999991,2023-07-12T19:51:30Z,29677.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,NA,NA
88c71,Deep Question,html.Page,1_4_0_0,katzit,NA,form submission,7362.615999994,29662.099999994,29661.302,29677.984,37040.599999994,37041,2023-07-12T19:51:38Z,37044.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,500.031,37042.399999991,37028.478,37044.819,37528.12,37536.599999994,2023-07-12T19:51:38Z,37544.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,0,NA
88c71,deep,flow.Sequence,1_4_0,NA,NA,completion,7850.136,29662,29661.302,29677.984,37528.12,37537.200000003,2023-07-12T19:51:38Z,37544.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA
88c71,task,flow.Sequence,1_4,NA,NA,completion,7850.136,29662,29661.302,29677.984,37528.12,37537.5,2023-07-12T19:51:38Z,37544.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA
88c71,Deep Question,html.Page,1_5_0_0,d,NA,form submission,1412.0499999911,37537.700000003,37528.12,37544.85,38956.899999991,38957.299999997,2023-07-12T19:51:39Z,38961.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,500.332,38958.899999991,38945.136,38961.467,39445.146,39446.299999997,2023-07-12T19:51:40Z,39461.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,0,NA
88c71,deep,flow.Sequence,1_5_0,NA,NA,completion,1900.296,37537.700000003,37528.12,37544.85,39445.146,39446.899999991,2023-07-12T19:51:40Z,39461.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,NA,NA
88c71,task,flow.Sequence,1_5,NA,NA,completion,1900.296,37537.599999994,37528.12,37544.85,39445.146,39447.099999994,2023-07-12T19:51:40Z,39461.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,NA,NA
88c71,Deep Question,html.Page,1_6_0_0,d,NA,form submission,970.10099999106,39447.5,39445.146,39461.799,40431.899999991,40432.299999997,2023-07-12T19:51:41Z,40444.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,499.941,40433.299999997,40428.962,40444.903,40928.203,40929,2023-07-12T19:51:41Z,40944.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,NA,0,NA
88c71,deep,flow.Sequence,1_6_0,NA,NA,completion,1466.404,39447.399999991,39445.146,39461.799,40928.203,40929.299999997,2023-07-12T19:51:41Z,40944.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,NA,NA,NA
88c71,task,flow.Sequence,1_6,NA,NA,completion,1466.404,39447.399999991,39445.146,39461.799,40928.203,40929.299999997,2023-07-12T19:51:41Z,40944.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,NA,NA,NA
88c71,Deep Question,html.Page,1_7_0_0,d,NA,form submission,1144.856000003,40929.5,40928.203,40944.844,42089.700000003,42090.099999994,2023-07-12T19:51:43Z,42094.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_7_0_1,NA,NA,timeout,500.278,42091,42078.623,42094.851,42578.535,42579.399999991,2023-07-12T19:51:43Z,42595.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,0,NA
88c71,deep,flow.Sequence,1_7_0,NA,NA,completion,1633.691,40929.5,40928.203,40944.844,42578.535,42579.700000003,2023-07-12T19:51:43Z,42595.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,NA,NA
88c71,task,flow.Sequence,1_7,NA,NA,completion,1633.691,40929.5,40928.203,40944.844,42578.535,42579.899999991,2023-07-12T19:51:43Z,42595.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,NA,NA
88c71,Deep Question,html.Page,1_8_0_0,ka,NA,form submission,7698.7709999911,42580.099999994,42578.535,42595.129,50293.899999991,50294.5,2023-07-12T19:51:51Z,50294.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_8_0_1,NA,NA,timeout,500.356,50296.099999994,50278.438,50294.997,50778.507,50779.700000003,2023-07-12T19:51:51Z,50795.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,0,NA
88c71,deep,flow.Sequence,1_8_0,NA,NA,completion,8183.378,42580.099999994,42578.535,42595.129,50778.507,50780,2023-07-12T19:51:51Z,50795.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA
88c71,task,flow.Sequence,1_8,NA,NA,completion,8183.378,42580,42578.535,42595.129,50778.507,50780.200000003,2023-07-12T19:51:51Z,50795.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA
88c71,Deep Question,html.Page,1_9_0_0,davini,NA,form submission,4002.347000003,50780.299999997,50778.507,50795.353,54797.700000003,54798,2023-07-12T19:51:55Z,54811.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_9_0_1,NA,NA,timeout,500.107,54798.899999991,54795.014,54811.684,55295.325,55296.299999997,2023-07-12T19:51:56Z,55311.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,0,NA
88c71,deep,flow.Sequence,1_9_0,NA,NA,completion,4499.972,50780.299999997,50778.507,50795.353,55295.325,55296.5,2023-07-12T19:51:56Z,55311.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,NA,NA
88c71,task,flow.Sequence,1_9,NA,NA,completion,4499.972,50780.200000003,50778.507,50795.353,55295.325,55296.599999994,2023-07-12T19:51:56Z,55311.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,NA,NA
88c71,Deep Question,html.Page,1_10_0_0,d,NA,form submission,1307.409000003,55296.799999997,55295.325,55311.791,56619.200000003,56619.5,2023-07-12T19:51:57Z,56628.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Betrüger,mdanganyifu,d,mwanamuziki,wastani,mahakama,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_10_0_1,NA,NA,timeout,500.214,56620.299999997,56612.131,56628.427,57111.967,57112.899999991,2023-07-12T19:51:58Z,57128.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Betrüger,mdanganyifu,d,mwanamuziki,wastani,mahakama,NA,0,NA
88c71,deep,flow.Sequence,1_10_0,NA,NA,completion,1800.176,55296.799999997,55295.325,55311.791,57111.967,57113.200000003,2023-07-12T19:51:58Z,57128.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Betrüger,mdanganyifu,d,mwanamuziki,wastani,mahakama,NA,NA,NA
88c71,task,flow.Sequence,1_10,NA,NA,completion,1800.176,55296.799999997,55295.325,55311.791,57111.967,57113.299999997,2023-07-12T19:51:58Z,57128.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Betrüger,mdanganyifu,d,mwanamuziki,wastani,mahakama,NA,NA,NA
88c71,Deep Question,html.Page,1_11_0_0,d,NA,form submission,4226.359,57113.599999994,57111.967,57128.641,61355,61355.5,2023-07-12T19:52:02Z,61361.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_11_0_1,NA,NA,timeout,500.111,61356.5,61345.166,61361.81,61845.122,61854.5,2023-07-12T19:52:02Z,61861.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,0,NA
88c71,deep,flow.Sequence,1_11_0,NA,NA,completion,4716.481,57113.599999994,57111.967,57128.641,61845.122,61854.899999991,2023-07-12T19:52:02Z,61861.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA
88c71,task,flow.Sequence,1_11,NA,NA,completion,4716.481,57113.5,57111.967,57128.641,61845.122,61855.200000003,2023-07-12T19:52:02Z,61861.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA
88c71,Deep Question,html.Page,1_12_0_0,d,NA,form submission,1083.678999994,61855.399999991,61845.122,61861.921,62945.599999994,62945.899999991,2023-07-12T19:52:03Z,62961.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_12_0_1,NA,NA,timeout,500.327,62946.899999991,62928.816,62961.805,63445.514,63446.299999997,2023-07-12T19:52:04Z,63462.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,0,NA
88c71,deep,flow.Sequence,1_12_0,NA,NA,completion,1583.593,61855.299999997,61845.122,61861.921,63445.514,63446.700000003,2023-07-12T19:52:04Z,63462.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA
88c71,task,flow.Sequence,1_12,NA,NA,completion,1583.593,61855.299999997,61845.122,61861.921,63445.514,63446.799999997,2023-07-12T19:52:04Z,63462.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA
88c71,Deep Question,html.Page,1_13_0_0,d,NA,form submission,6101.467999994,63447,63445.514,63462.132,69563.599999994,69563.899999991,2023-07-12T19:52:10Z,69578.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_13_0_1,NA,NA,timeout,500.03,69567.5,69561.923,69578.618,70061.932,70062.899999991,2023-07-12T19:52:11Z,70078.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,0,NA
88c71,deep,flow.Sequence,1_13_0,NA,NA,completion,6599.8,63447,63445.514,63462.132,70061.932,70063.299999997,2023-07-12T19:52:11Z,70078.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA
88c71,task,flow.Sequence,1_13,NA,NA,completion,6599.8,63446.899999991,63445.514,63462.132,70061.932,70063.700000003,2023-07-12T19:52:11Z,70078.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA
88c71,Deep Question,html.Page,1_14_0_0,d,NA,form submission,1347.7519999911,70063.899999991,70061.932,70078.648,71426.399999991,71426.899999991,2023-07-12T19:52:12Z,71428.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmosphäre,angahewa,d,kuteseka,usahihi,kutoamini,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_14_0_1,NA,NA,timeout,499.97200000001,71428.5,71412.041,71428.669,71911.954,71914.899999991,2023-07-12T19:52:12Z,71928.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmosphäre,angahewa,d,kuteseka,usahihi,kutoamini,NA,0,NA
88c71,deep,flow.Sequence,1_14_0,NA,NA,completion,1833.306,70063.899999991,70061.932,70078.648,71911.954,71915.399999991,2023-07-12T19:52:12Z,71928.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmosphäre,angahewa,d,kuteseka,usahihi,kutoamini,NA,NA,NA
88c71,task,flow.Sequence,1_14,NA,NA,completion,1833.306,70063.799999997,70061.932,70078.648,71911.954,71915.799999997,2023-07-12T19:52:12Z,71928.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmosphäre,angahewa,d,kuteseka,usahihi,kutoamini,NA,NA,NA
88c71,Deep Question,html.Page,1_15_0_0,d,NA,form submission,2530.458999994,71916.299999997,71911.954,71928.641,74459.099999994,74459.599999994,2023-07-12T19:52:15Z,74478.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_15_0_1,NA,NA,timeout,500.34600000001,74461.700000003,74462.097,74478.647,74962.439,74963.5,2023-07-12T19:52:15Z,74978.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,0,NA
88c71,deep,flow.Sequence,1_15_0,NA,NA,completion,3033.798,71916.200000003,71911.954,71928.641,74962.439,74964,2023-07-12T19:52:15Z,74978.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA
88c71,task,flow.Sequence,1_15,NA,NA,completion,3033.798,71916.200000003,71911.954,71928.641,74962.439,74964.200000003,2023-07-12T19:52:15Z,74978.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA
88c71,retrieval block 1 (cued recall),flow.Loop,1,NA,NA,completion,69618.106,5343.599999994,5327.663,5344.333,74962.439,74964.399999991,2023-07-12T19:52:15Z,74978.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88c71,Shallow Question,html.Page,2_0_0_0,hesabu,NA,form submission,8323.507,74964.799999997,74962.439,74978.993,83302.5,83302.799999997,2023-07-12T19:52:24Z,83312.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88c71,Save data screen,canvas.Screen,2_0_0_1,NA,NA,timeout,500.37999999999,83306.700000003,83295.775,83312.096,83795.536,83796.599999994,2023-07-12T19:52:24Z,83812.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,0,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88c71,shallow,flow.Sequence,2_0_0,NA,NA,completion,8816.543,74964.799999997,74962.439,74978.993,83795.536,83796.899999991,2023-07-12T19:52:24Z,83812.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88c71,task,flow.Sequence,2_0,NA,NA,completion,8816.543,74964.700000003,74962.439,74978.993,83795.536,83797,2023-07-12T19:52:24Z,83812.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88c71,Shallow Question,html.Page,2_1_0_0,idhini,NA,form submission,8610.123999994,83797.099999994,83795.536,83812.476,92422.599999994,92423,2023-07-12T19:52:33Z,92428.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88c71,Save data screen,canvas.Screen,2_1_0_1,NA,NA,timeout,499.963,92426.399999991,92412.856,92428.947,92912.939,92913.799999997,2023-07-12T19:52:33Z,92928.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,1,"c(""distractor1"", ""distractor2"", ""distractor3"")"
