observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,german,swahili,enc,distractor1,distractor2,distractor3,x,correct
fbe12,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.89999999999,109800,109791.42,109802.88,110286.14,110288,2023-10-04T20:59:08Z,110302.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,0
fbe12,deep,flow.Sequence,1_2_0,NA,NA,completion,39477.9,70795,70791.58,70808.24,110286.14,110289,2023-10-04T20:59:08Z,110302.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA
fbe12,task,flow.Sequence,1_2,NA,NA,completion,39477.9,70793,70791.58,70808.24,110286.14,110289,2023-10-04T20:59:08Z,110302.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA
fbe12,Deep Question,html.Page,1_3_0_0,kikuti,NA,form submission,17764.22,110290,110286.14,110302.78,128067,128068,2023-10-04T20:59:26Z,128067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zufall,kikuti,d,kukosekana,uchoraji,leseni,NA,NA
fbe12,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.94,128070,128065.8,128067,128550.26,128552,2023-10-04T20:59:26Z,128566.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zufall,kikuti,d,kukosekana,uchoraji,leseni,NA,1
fbe12,deep,flow.Sequence,1_3_0,NA,NA,completion,18247.48,110290,110286.14,110302.78,128550.26,128553,2023-10-04T20:59:26Z,128566.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zufall,kikuti,d,kukosekana,uchoraji,leseni,NA,NA
fbe12,task,flow.Sequence,1_3,NA,NA,completion,18247.48,110289,110286.14,110302.78,128550.26,128553,2023-10-04T20:59:26Z,128566.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zufall,kikuti,d,kukosekana,uchoraji,leseni,NA,NA
fbe12,Deep Question,html.Page,1_4_0_0,mangeji,NA,form submission,41022.06,128554,128550.26,128566.94,169589,169589,2023-10-04T21:00:07Z,169594.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,NA
fbe12,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,499.88,169590,169586.82,169594.62,170077.84,170078,2023-10-04T21:00:08Z,170094.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,0
fbe12,deep,flow.Sequence,1_4_0,NA,NA,completion,41510.9,128554,128550.26,128566.94,170077.84,170078,2023-10-04T21:00:08Z,170094.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,NA
fbe12,task,flow.Sequence,1_4,NA,NA,completion,41510.9,128553,128550.26,128566.94,170077.84,170079,2023-10-04T21:00:08Z,170094.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,NA
fbe12,Deep Question,html.Page,1_5_0_0,anisha,NA,form submission,13693.5,170080,170077.84,170094.5,183788,183788,2023-10-04T21:00:21Z,183792.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA
fbe12,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,499.95999999999,183789,183786.1,183792.62,184275.92,184277,2023-10-04T21:00:22Z,184292.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,0
fbe12,deep,flow.Sequence,1_5_0,NA,NA,completion,14181.42,170080,170077.84,170094.5,184275.92,184277,2023-10-04T21:00:22Z,184292.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA
fbe12,task,flow.Sequence,1_5,NA,NA,completion,14181.42,170080,170077.84,170094.5,184275.92,184278,2023-10-04T21:00:22Z,184292.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA
fbe12,Deep Question,html.Page,1_6_0_0,ugisho,NA,form submission,9984.42,184279,184275.92,184292.58,194277,194277,2023-10-04T21:00:32Z,194275.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbol,kielezo,d,kinyume,nderemo,utayari,NA,NA
fbe12,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,498.82000000001,194279,194275.42,194275.62,194757.78,194759,2023-10-04T21:00:32Z,194774.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbol,kielezo,d,kinyume,nderemo,utayari,NA,0
fbe12,deep,flow.Sequence,1_6_0,NA,NA,completion,10465.2,184279,184275.92,184292.58,194757.78,194759,2023-10-04T21:00:32Z,194774.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbol,kielezo,d,kinyume,nderemo,utayari,NA,NA
fbe12,task,flow.Sequence,1_6,NA,NA,completion,10465.2,184278,184275.92,184292.58,194757.78,194760,2023-10-04T21:00:32Z,194774.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbol,kielezo,d,kinyume,nderemo,utayari,NA,NA
