observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,distractors
88e14,task,flow.Sequence,1_3,NA,NA,completion,7715.591,48264.399999857,48261.429,48278.122,55993.713,56000.5,2023-08-13T10:21:51Z,56010.325,Tester,wanaojaribu,s,sherti,sihiri,mlipuko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_4_0_0,uelawazo,NA,form submission,28462.974999952,56001.799999952,55993.713,56010.325,84473.299999952,84476.5,2023-08-13T10:22:20Z,84474.892,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,498.32699999999,84479.399999857,84456.729,84474.892,84957.347,84960.299999952,2023-08-13T10:22:20Z,84973.219,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_4_0,NA,NA,completion,28947.022,56001.699999809,55993.713,56010.325,84957.347,84960.5,2023-08-13T10:22:20Z,84973.219,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_4,NA,NA,completion,28947.022,56001.599999904996,55993.713,56010.325,84957.347,84960.599999905,2023-08-13T10:22:20Z,84973.219,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_5_0_0,foleni,NA,form submission,4827.4809998093,84960.699999809,84957.347,84973.219,89800.699999809,89801,2023-08-13T10:22:25Z,89808.997,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,496.87,89803.5,89789.302,89808.997,90289.202,90290.699999809,2023-08-13T10:22:26Z,90305.867,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_5_0,NA,NA,completion,5315.983,84960.699999809,84957.347,84973.219,90289.202,90291,2023-08-13T10:22:26Z,90305.867,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_5,NA,NA,completion,5315.983,84960.699999809,84957.347,84973.219,90289.202,90291.199999809,2023-08-13T10:22:26Z,90305.867,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_6_0_0,mshtuko,NA,form submission,10919.932999952,90291.299999952,90289.202,90305.867,101225.79999995,101226.19999981,2023-08-13T10:22:37Z,101239.504,Schock,mshtuko,d,biashara,kukataza,vichekesho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,498.236,101228.79999995,101221.209,101239.504,101721.093,101722.29999995,2023-08-13T10:22:37Z,101737.74,Schock,mshtuko,d,biashara,kukataza,vichekesho,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_6_0,NA,NA,completion,11415.226,90291.299999952,90289.202,90305.867,101721.093,101722.5,2023-08-13T10:22:37Z,101737.74,Schock,mshtuko,d,biashara,kukataza,vichekesho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_6,NA,NA,completion,11415.226,90291.199999809,90289.202,90305.867,101721.093,101722.5999999,2023-08-13T10:22:37Z,101737.74,Schock,mshtuko,d,biashara,kukataza,vichekesho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_7_0_0,uemkaebashi,NA,form submission,11669.26,101722.79999995,101721.093,101737.74,113407,113407.29999995,2023-08-13T10:22:49Z,113421.557,Theorie,nadharia,d,ushungi,mkutano,uwakilishi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_7_0_1,NA,NA,timeout,497.965,113411.29999995,113402.955,113421.557,113902.868,113905.5999999,2023-08-13T10:22:49Z,113919.522,Theorie,nadharia,d,ushungi,mkutano,uwakilishi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_7_0,NA,NA,completion,12165.128,101722.79999995,101721.093,101737.74,113902.868,113905.89999986,2023-08-13T10:22:49Z,113919.522,Theorie,nadharia,d,ushungi,mkutano,uwakilishi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_7,NA,NA,completion,12165.128,101722.79999995,101721.093,101737.74,113902.868,113906.0999999,2023-08-13T10:22:49Z,113919.522,Theorie,nadharia,d,ushungi,mkutano,uwakilishi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_8_0_0,maekouza,NA,form submission,12363.978,113906.5999999,113902.868,113919.522,126283.5,126283.89999986,2023-08-13T10:23:02Z,126284.618,Schüler,mwanafunzi,s,mwekezaji,matumizi,uaminifu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_8_0_1,NA,NA,timeout,501.827,126287.79999995,126267.988,126284.618,126767.886,126770.69999981,2023-08-13T10:23:02Z,126786.445,Schüler,mwanafunzi,s,mwekezaji,matumizi,uaminifu,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_8_0,NA,NA,completion,12848.364,113906.5,113902.868,113919.522,126767.886,126771.19999981,2023-08-13T10:23:02Z,126786.445,Schüler,mwanafunzi,s,mwekezaji,matumizi,uaminifu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_8,NA,NA,completion,12848.364,113906.39999986,113902.868,113919.522,126767.886,126771.69999980999,2023-08-13T10:23:02Z,126786.445,Schüler,mwanafunzi,s,mwekezaji,matumizi,uaminifu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_9_0_0,mapela,NA,form submission,34395.254999809,126772,126767.886,126786.445,161181.69999981,161182,2023-08-13T10:23:37Z,161197.534,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_9_0_1,NA,NA,timeout,499.23999999999,161185.29999995,161183.092,161197.534,161680.101,161681.39999986,2023-08-13T10:23:37Z,161696.774,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_9_0,NA,NA,completion,34893.656,126772,126767.886,126786.445,161680.101,161681.5,2023-08-13T10:23:37Z,161696.774,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_9,NA,NA,completion,34893.656,126771.79999995,126767.886,126786.445,161680.101,161681.69999981,2023-08-13T10:23:37Z,161696.774,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_10_0_0,kabashi,NA,form submission,11258.825999905,161681.79999995,161680.101,161696.774,172955.5999999,172955.79999995,2023-08-13T10:23:48Z,172962.038,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_10_0_1,NA,NA,timeout,500.20800000001,172958.19999981,172945.426,172962.038,173446.02,173447.5,2023-08-13T10:23:49Z,173462.246,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_10_0,NA,NA,completion,11749.246,161681.79999995,161680.101,161696.774,173446.02,173447.5999999,2023-08-13T10:23:49Z,173462.246,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_10,NA,NA,completion,11749.246,161681.69999981,161680.101,161696.774,173446.02,173447.79999995,2023-08-13T10:23:49Z,173462.246,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_11_0_0,uerkozo,NA,form submission,12975.254,173448,173446.02,173462.246,186437.5,186437.79999995,2023-08-13T10:24:02Z,186444.779,Inhalt,yaliyomo,s,kishawishi,hifadhi,kutembea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_11_0_1,NA,NA,timeout,499.03099999999,186440.29999995,186426.946,186444.779,186926.98,186930.5,2023-08-13T10:24:02Z,186943.81,Inhalt,yaliyomo,s,kishawishi,hifadhi,kutembea,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_11_0,NA,NA,completion,13464.734,173447.89999986,173446.02,173462.246,186926.98,186932.69999981,2023-08-13T10:24:02Z,186943.81,Inhalt,yaliyomo,s,kishawishi,hifadhi,kutembea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_11,NA,NA,completion,13464.734,173447.79999995,173446.02,173462.246,186926.98,186933.39999986,2023-08-13T10:24:02Z,186943.81,Inhalt,yaliyomo,s,kishawishi,hifadhi,kutembea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_12_0_0,upelelezi,NA,form submission,9202.7899999046,186934.39999986,186926.98,186943.81,196146.5999999,196147.0999999,2023-08-13T10:24:12Z,196162.299,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_12_0_1,NA,NA,timeout,498.337,196150,196142.419,196162.299,196644.064,196646.0999999,2023-08-13T10:24:12Z,196660.636,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_12_0,NA,NA,completion,9700.254,186934,186926.98,186943.81,196644.064,196646.29999995,2023-08-13T10:24:12Z,196660.636,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_12,NA,NA,completion,9700.254,186933.69999981,186926.98,186943.81,196644.064,196646.5,2023-08-13T10:24:12Z,196660.636,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_13_0_0,kikimora,NA,form submission,6497.364,196646.5999999,196644.064,196660.636,203158,203158.89999986,2023-08-13T10:24:19Z,203183.338,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_13_0_1,NA,NA,timeout,508.08100000001,203161.5,203141.534,203183.338,203674.76,203676.29999995,2023-08-13T10:24:19Z,203691.419,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_13_0,NA,NA,completion,7014.124,196646.5999999,196644.064,196660.636,203674.76,203677,2023-08-13T10:24:19Z,203691.419,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_13,NA,NA,completion,7014.124,196646.5999999,196644.064,196660.636,203674.76,203677.5999999,2023-08-13T10:24:19Z,203691.419,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_14_0_0,udhara,NA,form submission,8857.6809999046,203677.79999995,203674.76,203691.419,212549.0999999,212549.29999995,2023-08-13T10:24:28Z,212561.636,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_14_0_1,NA,NA,timeout,495.272,212552.19999981,212540.406,212561.636,213040.59,213047.69999981,2023-08-13T10:24:29Z,213056.908,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_14_0,NA,NA,completion,9349.171,203677.79999995,203674.76,203691.419,213040.59,213047.89999986,2023-08-13T10:24:29Z,213056.908,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_14,NA,NA,completion,9349.171,203677.79999995,203674.76,203691.419,213040.59,213048,2023-08-13T10:24:29Z,213056.908,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_15_0_0,kinyongo,NA,form submission,12306.191999905,213048.19999981,213040.59,213056.908,225363.0999999,225363.5999999,2023-08-13T10:24:41Z,225372.021,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_15_0_1,NA,NA,timeout,500.052,225369.29999995,225355.448,225372.021,225855.532,225856.5999999,2023-08-13T10:24:41Z,225872.073,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_15_0,NA,NA,completion,12798.624,213048.19999981,213040.59,213056.908,225855.532,225856.79999995,2023-08-13T10:24:41Z,225872.073,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_15,NA,NA,completion,12798.624,213048.0999999,213040.59,213056.908,225855.532,225857.5999999,2023-08-13T10:24:41Z,225872.073,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,retrieval block 1 (cued recall),flow.Loop,1,NA,NA,completion,212538.834,13307.299999952,13300.057,13316.698,225855.532,225858.19999981,2023-08-13T10:24:41Z,225872.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Shallow Question,html.Page,2_0_0_0,foleni,NA,form submission,2621.6269998093,225858.69999981,225855.532,225872.073,228493.69999981,228494,2023-08-13T10:24:44Z,228504.966,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88e14,Save data screen,canvas.Screen,2_0_0_1,NA,NA,timeout,499.94100000002,228494.89999986,228489.104,228504.966,228988.404,228991,2023-08-13T10:24:44Z,229004.907,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88e14,shallow,flow.Sequence,2_0_0,NA,NA,completion,3116.331,225858.5,225855.532,225872.073,228988.404,228993.0999999,2023-08-13T10:24:44Z,229004.907,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88e14,task,flow.Sequence,2_0,NA,NA,completion,3116.331,225858.5,225855.532,225872.073,228988.404,228994.79999995,2023-08-13T10:24:44Z,229004.907,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
88e14,Shallow Question,html.Page,2_1_0_0,nadharia,NA,form submission,5544.4929998569,228995.39999986,228988.404,229004.907,234549.39999986,234549.89999986,2023-08-13T10:24:50Z,234554.205,Theorie,nadharia,d,ushungi,mkutano,uwakilishi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")"
